# Force coefficients
# liftDir      : (6.9756503e-02 0.0000000e+00 9.9756405e-01)
# dragDir      : (9.9756405e-01 0.0000000e+00 -6.9756503e-02)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
158            	-1.0065115e-02	7.5564608e-02	-1.1036288e-01	-6.5246555e-02	-4.5116325e-02
159            	-1.8928501e-02	7.4360340e-02	-1.0060170e-01	-6.9229348e-02	-3.1372347e-02
160            	-2.2877824e-02	7.3487001e-02	-9.3579746e-02	-6.9667697e-02	-2.3912049e-02
161            	-2.2239689e-02	7.3000323e-02	-8.9821821e-02	-6.7150600e-02	-2.2671221e-02
162            	-1.8304874e-02	7.2858011e-02	-8.9021424e-02	-6.2815586e-02	-2.6205838e-02
163            	-1.2223791e-02	7.2976989e-02	-9.0529260e-02	-5.7488420e-02	-3.3040839e-02
164            	-4.7438557e-03	7.3304894e-02	-9.3974004e-02	-5.1730858e-02	-4.2243146e-02
165            	3.6846764e-03	7.3819110e-02	-9.9253016e-02	-4.5941832e-02	-5.3311184e-02
166            	1.2746353e-02	7.4520559e-02	-1.0648594e-01	-4.0496618e-02	-6.5989325e-02
167            	2.1747898e-02	7.5391240e-02	-1.1560487e-01	-3.6054537e-02	-7.9550332e-02
168            	2.9723308e-02	7.6369282e-02	-1.2608418e-01	-3.3318782e-02	-9.2765397e-02
169            	3.6278521e-02	7.7423218e-02	-1.3768028e-01	-3.2561617e-02	-1.0511866e-01
170            	4.1202399e-02	7.8523399e-02	-1.5014874e-01	-3.3871970e-02	-1.1627677e-01
171            	4.4305593e-02	7.9596428e-02	-1.6273648e-01	-3.7062645e-02	-1.2567383e-01
172            	4.5815958e-02	8.0619018e-02	-1.7520002e-01	-4.1784054e-02	-1.3341597e-01
173            	4.6037571e-02	8.1573562e-02	-1.8733820e-01	-4.7631527e-02	-1.3970667e-01
174            	4.5299605e-02	8.2447225e-02	-1.9898512e-01	-5.4192954e-02	-1.4479216e-01
175            	4.3869694e-02	8.3271752e-02	-2.1053568e-01	-6.1398144e-02	-1.4913753e-01
176            	4.2133578e-02	8.3958872e-02	-2.2078675e-01	-6.8259796e-02	-1.5252695e-01
177            	4.0254048e-02	8.4549468e-02	-2.3021332e-01	-7.4852613e-02	-1.5536071e-01
178            	3.8293809e-02	8.5075777e-02	-2.3923690e-01	-8.1324641e-02	-1.5791226e-01
179            	3.6468023e-02	8.5505917e-02	-2.4730047e-01	-8.7182211e-02	-1.6011826e-01
180            	3.4749324e-02	8.5866237e-02	-2.5478070e-01	-9.2641024e-02	-1.6213967e-01
181            	3.3185128e-02	8.6152672e-02	-2.6156529e-01	-9.7597515e-02	-1.6396777e-01
182            	3.1722328e-02	8.6372597e-02	-2.6781153e-01	-1.0218344e-01	-1.6562809e-01
183            	3.0378363e-02	8.6512633e-02	-2.7324130e-01	-1.0624229e-01	-1.6699901e-01
184            	2.9034835e-02	8.6559570e-02	-2.7777663e-01	-1.0985348e-01	-1.6792315e-01
185            	2.7724078e-02	8.6490572e-02	-2.8072868e-01	-1.1264026e-01	-1.6808842e-01
186            	2.6390195e-02	8.6298019e-02	-2.8169467e-01	-1.1445714e-01	-1.6723753e-01
187            	2.5063644e-02	8.6018102e-02	-2.8072013e-01	-1.1529642e-01	-1.6542371e-01
188            	2.3807970e-02	8.5641144e-02	-2.7847984e-01	-1.1543195e-01	-1.6304789e-01
189            	2.2617988e-02	8.5232011e-02	-2.7553870e-01	-1.1515136e-01	-1.6038734e-01
190            	2.1521030e-02	8.4845769e-02	-2.7244546e-01	-1.1470170e-01	-1.5774376e-01
191            	2.0600829e-02	8.4532827e-02	-2.6992948e-01	-1.1436391e-01	-1.5556557e-01
192            	1.9808558e-02	8.4274450e-02	-2.6779093e-01	-1.1408691e-01	-1.5370402e-01
193            	1.9213604e-02	8.4093445e-02	-2.6648783e-01	-1.1403031e-01	-1.5245752e-01
194            	1.8800991e-02	8.3978054e-02	-2.6590191e-01	-1.1414997e-01	-1.5175195e-01
195            	1.8582430e-02	8.3926012e-02	-2.6608563e-01	-1.1446039e-01	-1.5162525e-01
196            	1.8553261e-02	8.3931473e-02	-2.6701522e-01	-1.1495435e-01	-1.5206087e-01
197            	1.8736456e-02	8.3994770e-02	-2.6869081e-01	-1.1560895e-01	-1.5308186e-01
