# Force coefficients
# liftDir      : (-6.9756503e-02 0.0000000e+00 9.9756405e-01)
# dragDir      : (9.9756405e-01 0.0000000e+00 6.9756503e-02)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
100            	1.1597719e-02	6.4387007e-02	-1.7449820e-02	2.8728085e-03	-2.0322629e-02
101            	1.1945018e-02	6.6585790e-02	-1.7633448e-02	3.1282940e-03	-2.0761742e-02
102            	1.2203522e-02	6.8097344e-02	-1.7772084e-02	3.3174807e-03	-2.1089564e-02
103            	1.2379290e-02	6.8964095e-02	-1.7869198e-02	3.4446913e-03	-2.1313889e-02
104            	1.2476590e-02	6.9296706e-02	-1.7928324e-02	3.5124277e-03	-2.1440751e-02
105            	1.2519427e-02	6.9243069e-02	-1.7946307e-02	3.5462734e-03	-2.1492581e-02
106            	1.2544208e-02	6.8933448e-02	-1.7895439e-02	3.5964887e-03	-2.1491927e-02
107            	1.2555830e-02	6.8526540e-02	-1.7754583e-02	3.6785384e-03	-2.1433122e-02
108            	1.2544204e-02	6.8139060e-02	-1.7459847e-02	3.8142803e-03	-2.1274127e-02
109            	1.2469055e-02	6.7849152e-02	-1.6890622e-02	4.0237444e-03	-2.0914366e-02
110            	1.2228694e-02	6.7697950e-02	-1.5756399e-02	4.3504942e-03	-2.0106893e-02
111            	1.1652862e-02	6.7701099e-02	-1.3621360e-02	4.8421814e-03	-1.8463542e-02
112            	1.0638174e-02	6.7841507e-02	-1.0295140e-02	5.4906041e-03	-1.5785745e-02
113            	9.3313734e-03	6.8061220e-02	-6.2813542e-03	6.1906963e-03	-1.2472051e-02
114            	7.9534025e-03	6.8295658e-02	-2.2108280e-03	6.8479884e-03	-9.0588165e-03
115            	6.4134966e-03	6.8534619e-02	2.1954809e-03	7.5112371e-03	-5.3157561e-03
116            	4.6407473e-03	6.8778808e-02	7.1428869e-03	8.2121907e-03	-1.0693038e-03
117            	2.2270070e-03	6.9082496e-02	1.3710433e-02	9.0822234e-03	4.6282093e-03
118            	-8.8739312e-04	6.9464453e-02	2.1988573e-02	1.0106893e-02	1.1881680e-02
119            	-5.0024609e-03	6.9984488e-02	3.2624401e-02	1.1309739e-02	2.1314661e-02
120            	-1.0009359e-02	7.0656906e-02	4.5155073e-02	1.2568178e-02	3.2586895e-02
121            	-1.4978661e-02	7.1378902e-02	5.7205996e-02	1.3624337e-02	4.3581659e-02
122            	-1.9005246e-02	7.2028824e-02	6.6688963e-02	1.4339235e-02	5.2349728e-02
123            	-2.1937831e-02	7.2579890e-02	7.3369665e-02	1.4747002e-02	5.8622664e-02
124            	-2.4057197e-02	7.3088880e-02	7.7907213e-02	1.4896409e-02	6.3010804e-02
125            	-2.5101380e-02	7.3538356e-02	7.9742744e-02	1.4769992e-02	6.4972752e-02
126            	-2.4609010e-02	7.3839345e-02	7.8088024e-02	1.4435001e-02	6.3653022e-02
127            	-2.2333197e-02	7.3945484e-02	7.2637575e-02	1.3985590e-02	5.8651985e-02
128            	-1.8128269e-02	7.3821786e-02	6.3353653e-02	1.3548558e-02	4.9805096e-02
129            	-1.2500326e-02	7.3486122e-02	5.1577910e-02	1.3288629e-02	3.8289281e-02
130            	-5.8345931e-03	7.2973915e-02	3.8251706e-02	1.3291260e-02	2.4960446e-02
131            	2.1921662e-03	7.2264104e-02	2.2898234e-02	1.3641283e-02	9.2569507e-03
132            	1.2106553e-02	7.1304854e-02	4.8044584e-03	1.4508783e-02	-9.7043243e-03
133            	2.4337829e-02	7.0041768e-02	-1.6364418e-02	1.6155620e-02	-3.2520038e-02
134            	3.9502929e-02	6.8382327e-02	-4.0987177e-02	1.9009341e-02	-5.9996517e-02
135            	5.5922531e-02	6.6447511e-02	-6.5607427e-02	2.3118818e-02	-8.8726245e-02
136            	6.9930243e-02	6.4562537e-02	-8.4256410e-02	2.7802038e-02	-1.1205845e-01
137            	7.7071035e-02	6.3229456e-02	-9.1006307e-02	3.1567882e-02	-1.2257419e-01
138            	7.6441407e-02	6.2655691e-02	-8.5835201e-02	3.3523806e-02	-1.1935901e-01
139            	7.0223589e-02	6.2721141e-02	-7.3019585e-02	3.3713797e-02	-1.0673338e-01
140            	6.0310934e-02	6.3226099e-02	-5.5583254e-02	3.2519307e-02	-8.8102561e-02
141            	4.8054017e-02	6.4036088e-02	-3.5607037e-02	3.0250499e-02	-6.5857536e-02
142            	3.4127874e-02	6.5080007e-02	-1.4042083e-02	2.7106832e-02	-4.1148915e-02
143            	1.8718967e-02	6.6342279e-02	8.9308039e-03	2.3184369e-02	-1.4253565e-02
144            	9.0490495e-04	6.7929249e-02	3.4795515e-02	1.8302662e-02	1.6492852e-02
145            	-1.8671059e-02	6.9855967e-02	6.2976172e-02	1.2817027e-02	5.0159145e-02
146            	-3.8398066e-02	7.2086535e-02	9.1956506e-02	7.5801876e-03	8.4376319e-02
147            	-5.4700101e-02	7.4364188e-02	1.1765646e-01	4.1281307e-03	1.1352833e-01
148            	-6.4894300e-02	7.6445706e-02	1.3710238e-01	3.6568898e-03	1.3344549e-01
149            	-6.7533056e-02	7.8040480e-02	1.4808485e-01	6.5093706e-03	1.4157548e-01
150            	-6.3882477e-02	7.9030329e-02	1.5129380e-01	1.1764426e-02	1.3952938e-01
151            	-5.6124032e-02	7.9567616e-02	1.4944491e-01	1.8598422e-02	1.3084649e-01
152            	-4.5335583e-02	7.9784242e-02	1.4421402e-01	2.6771425e-02	1.1744259e-01
153            	-3.2284955e-02	7.9735421e-02	1.3651956e-01	3.5974825e-02	1.0054474e-01
154            	-1.7534073e-02	7.9443002e-02	1.2687833e-01	4.5905090e-02	8.0973237e-02
155            	-2.9250766e-03	7.8956617e-02	1.1662860e-01	5.5389225e-02	6.1239379e-02
156            	1.1010906e-02	7.8291129e-02	1.0606592e-01	6.4043863e-02	4.2022052e-02
157            	2.3619328e-02	7.7450461e-02	9.5439160e-02	7.1338908e-02	2.4100252e-02
158            	3.4028475e-02	7.6442206e-02	8.5083314e-02	7.6570132e-02	8.5131821e-03
159            	4.1030402e-02	7.5328845e-02	7.5819167e-02	7.8939985e-02	-3.1208183e-03
160            	4.3629421e-02	7.4292805e-02	6.9168389e-02	7.8213615e-02	-9.0452262e-03
161            	4.2322822e-02	7.3421693e-02	6.5389327e-02	7.5017485e-02	-9.6281583e-03
162            	3.8426280e-02	7.2822894e-02	6.4543201e-02	7.0697880e-02	-6.1546792e-03
163            	3.3150223e-02	7.2454052e-02	6.5846662e-02	6.6073554e-02	-2.2689136e-04
164            	2.6960437e-02	7.2267466e-02	6.8905098e-02	6.1412986e-02	7.4921120e-03
165            	1.9901568e-02	7.2254077e-02	7.3845669e-02	5.6824403e-02	1.7021267e-02
166            	1.2812192e-02	7.2428571e-02	8.0474593e-02	5.3049488e-02	2.7425105e-02
167            	5.8594211e-03	7.2803619e-02	8.9004468e-02	5.0361655e-02	3.8642813e-02
168            	-5.4065617e-04	7.3385009e-02	9.9402006e-02	4.9160347e-02	5.0241659e-02
169            	-5.8521810e-03	7.4139725e-02	1.1112763e-01	4.9711634e-02	6.1415996e-02
170            	-9.7969787e-03	7.5008905e-02	1.2346688e-01	5.1936464e-02	7.1530421e-02
171            	-1.2348887e-02	7.5916140e-02	1.3560536e-01	5.5453795e-02	8.0151570e-02
172            	-1.3870778e-02	7.6865872e-02	1.4779405e-01	6.0026246e-02	8.7767803e-02
173            	-1.4569399e-02	7.7828538e-02	1.5980698e-01	6.5334091e-02	9.4472889e-02
174            	-1.4705933e-02	7.8876076e-02	1.7256974e-01	7.1578938e-02	1.0099080e-01
175            	-1.4377720e-02	7.9930737e-02	1.8523452e-01	7.8239543e-02	1.0699498e-01
176            	-1.3733947e-02	8.0915504e-02	1.9699203e-01	8.4762069e-02	1.1222996e-01
177            	-1.2904470e-02	8.1809982e-02	2.0766800e-01	9.0929530e-02	1.1673847e-01
178            	-1.2012805e-02	8.2557101e-02	2.1669431e-01	9.6334352e-02	1.2035996e-01
179            	-1.1122213e-02	8.3159085e-02	2.2414710e-01	1.0095134e-01	1.2319577e-01
180            	-1.0162023e-02	8.3698268e-02	2.3092774e-01	1.0530185e-01	1.2562590e-01
181            	-9.0797134e-03	8.4197563e-02	2.3726677e-01	1.0955367e-01	1.2771310e-01
182            	-7.8055025e-03	8.4659553e-02	2.4313749e-01	1.1376324e-01	1.2937425e-01
183            	-6.2517223e-03	8.5061241e-02	2.4820138e-01	1.1784897e-01	1.3035241e-01
184            	-4.4510875e-03	8.5334754e-02	2.5173557e-01	1.2141670e-01	1.3031887e-01
185            	-2.4553816e-03	8.5438504e-02	2.5336748e-01	1.2422836e-01	1.2913912e-01
186            	-3.4821235e-04	8.5362675e-02	2.5312353e-01	1.2621355e-01	1.2690998e-01
187            	1.7525628e-03	8.5129814e-02	2.5140349e-01	1.2745431e-01	1.2394918e-01
188            	3.7850223e-03	8.4772575e-02	2.4866423e-01	1.2811714e-01	1.2054709e-01
189            	5.5989746e-03	8.4350099e-02	2.4564164e-01	1.2841979e-01	1.1722184e-01
190            	7.1353402e-03	8.3906687e-02	2.4282482e-01	1.2854775e-01	1.1427707e-01
191            	8.4134045e-03	8.3452539e-02	2.4033736e-01	1.2858208e-01	1.1175527e-01
192            	9.3413250e-03	8.3043556e-02	2.3868215e-01	1.2868240e-01	1.0999975e-01
193            	9.9576538e-03	8.2672696e-02	2.3779160e-01	1.2885346e-01	1.0893815e-01
194            	1.0258084e-02	8.2354757e-02	2.3775640e-01	1.2913629e-01	1.0862012e-01
195            	1.0258327e-02	8.2098742e-02	2.3858642e-01	1.2955154e-01	1.0903488e-01
196            	9.9924094e-03	8.1907986e-02	2.4022185e-01	1.3010334e-01	1.1011852e-01
197            	9.3519028e-03	8.1757295e-02	2.4285748e-01	1.3078064e-01	1.1207684e-01
198            	8.2806574e-03	8.1664342e-02	2.4666323e-01	1.3161227e-01	1.1505096e-01
199            	6.8810685e-03	8.1644920e-02	2.5143137e-01	1.3259676e-01	1.1883462e-01
200            	5.0385217e-03	8.1707089e-02	2.5745469e-01	1.3376587e-01	1.2368882e-01
201            	2.9564864e-03	8.1848584e-02	2.6426313e-01	1.3508805e-01	1.2917508e-01
202            	7.1710873e-04	8.2065183e-02	2.7168929e-01	1.3656175e-01	1.3512754e-01
203            	-1.4030993e-03	8.2326207e-02	2.7902452e-01	1.3810916e-01	1.4091536e-01
204            	-3.5099177e-03	8.2644665e-02	2.8663452e-01	1.3980734e-01	1.4682718e-01
205            	-5.5238058e-03	8.3012280e-02	2.9436777e-01	1.4166008e-01	1.5270769e-01
206            	-7.3709715e-03	8.3419434e-02	3.0207031e-01	1.4366418e-01	1.5840613e-01
207            	-8.9870073e-03	8.3855357e-02	3.0958893e-01	1.4580746e-01	1.6378147e-01
208            	-1.0202327e-02	8.4266960e-02	3.1624838e-01	1.4792186e-01	1.6832652e-01
209            	-1.1130886e-02	8.4685461e-02	3.2251332e-01	1.5012577e-01	1.7238755e-01
210            	-1.1753546e-02	8.5100541e-02	3.2828100e-01	1.5238696e-01	1.7589405e-01
211            	-1.2063247e-02	8.5501846e-02	3.3345738e-01	1.5466544e-01	1.7879194e-01
212            	-1.2064194e-02	8.5879244e-02	3.3796059e-01	1.5691610e-01	1.8104449e-01
213            	-1.1747553e-02	8.6258520e-02	3.4197952e-01	1.5924221e-01	1.8273731e-01
214            	-1.1087804e-02	8.6619663e-02	3.4528395e-01	1.6155417e-01	1.8372978e-01
215            	-1.0079256e-02	8.6940301e-02	3.4765329e-01	1.6374739e-01	1.8390590e-01
216            	-8.7377643e-03	8.7197079e-02	3.4889777e-01	1.6571112e-01	1.8318665e-01
217            	-7.1013842e-03	8.7367519e-02	3.4887990e-01	1.6733857e-01	1.8154134e-01
218            	-5.1255695e-03	8.7437519e-02	3.4739593e-01	1.6857239e-01	1.7882353e-01
219            	-2.8965437e-03	8.7377731e-02	3.4435109e-01	1.6927900e-01	1.7507209e-01
220            	-5.3818323e-04	8.7167902e-02	3.3980444e-01	1.6936404e-01	1.7044041e-01
221            	1.7054463e-03	8.6813692e-02	3.3424396e-01	1.6882743e-01	1.6541653e-01
222            	3.6214406e-03	8.6348129e-02	3.2832344e-01	1.6778316e-01	1.6054028e-01
223            	4.9316139e-03	8.5865224e-02	3.2326396e-01	1.6656360e-01	1.5670037e-01
224            	5.6994921e-03	8.5408893e-02	3.1929279e-01	1.6534589e-01	1.5394690e-01
225            	6.0540504e-03	8.4985014e-02	3.1623092e-01	1.6416951e-01	1.5206141e-01
226            	6.0746715e-03	8.4613154e-02	3.1407814e-01	1.6311374e-01	1.5096440e-01
227            	5.8361352e-03	8.4278057e-02	3.1259237e-01	1.6213232e-01	1.5046005e-01
228            	5.3572897e-03	8.3961769e-02	3.1161673e-01	1.6116565e-01	1.5045107e-01
229            	4.6103990e-03	8.3649953e-02	3.1110758e-01	1.6016419e-01	1.5094339e-01
230            	3.5430663e-03	8.3337303e-02	3.1113531e-01	1.5911072e-01	1.5202459e-01
231            	2.1782418e-03	8.3047552e-02	3.1184264e-01	1.5809956e-01	1.5374308e-01
232            	6.4920172e-04	8.2817404e-02	3.1325970e-01	1.5727905e-01	1.5598065e-01
233            	-9.5952702e-04	8.2661097e-02	3.1535315e-01	1.5671705e-01	1.5863610e-01
234            	-2.4893309e-03	8.2592203e-02	3.1793174e-01	1.5647654e-01	1.6145520e-01
235            	-3.7481751e-03	8.2605604e-02	3.2057988e-01	1.5654177e-01	1.6403812e-01
236            	-4.7309193e-03	8.2678880e-02	3.2311911e-01	1.5682864e-01	1.6629047e-01
237            	-5.4596443e-03	8.2789641e-02	3.2541999e-01	1.5725035e-01	1.6816964e-01
238            	-5.9725837e-03	8.2917114e-02	3.2739678e-01	1.5772580e-01	1.6967097e-01
239            	-6.3709749e-03	8.3074318e-02	3.2934294e-01	1.5830049e-01	1.7104244e-01
240            	-6.6589141e-03	8.3254272e-02	3.3120566e-01	1.5894392e-01	1.7226174e-01
241            	-6.8422314e-03	8.3449437e-02	3.3293177e-01	1.5962365e-01	1.7330812e-01
242            	-6.9262780e-03	8.3671457e-02	3.3459836e-01	1.6037290e-01	1.7422546e-01
243            	-6.9026381e-03	8.3910827e-02	3.3610361e-01	1.6114917e-01	1.7495444e-01
244            	-6.7682117e-03	8.4155471e-02	3.3733944e-01	1.6190151e-01	1.7543793e-01
245            	-6.5263468e-03	8.4391553e-02	3.3820047e-01	1.6257389e-01	1.7562658e-01
246            	-6.1609438e-03	8.4617982e-02	3.3860665e-01	1.6314238e-01	1.7546427e-01
247            	-5.6875394e-03	8.4813656e-02	3.3842303e-01	1.6352398e-01	1.7489905e-01
248            	-5.1060531e-03	8.4965255e-02	3.3751105e-01	1.6364947e-01	1.7386158e-01
249            	-4.4072236e-03	8.5055598e-02	3.3566043e-01	1.6342299e-01	1.7223744e-01
250            	-3.6412424e-03	8.5054539e-02	3.3277119e-01	1.6274435e-01	1.7002684e-01
