# Force coefficients
# liftDir      : (-2.0791169e-01 0.0000000e+00 9.7814760e-01)
# dragDir      : (9.7814760e-01 0.0000000e+00 2.0791169e-01)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
550            	-4.5692489e-02	1.9464557e-01	7.6582616e-01	3.3722059e-01	4.2860557e-01
551            	-4.5802935e-02	1.9454972e-01	7.6554008e-01	3.3696711e-01	4.2857298e-01
552            	-4.5989814e-02	1.9445276e-01	7.6534043e-01	3.3668040e-01	4.2866003e-01
553            	-4.6214476e-02	1.9437824e-01	7.6525752e-01	3.3641428e-01	4.2884324e-01
554            	-4.6408192e-02	1.9433528e-01	7.6524399e-01	3.3621380e-01	4.2903019e-01
555            	-4.6670919e-02	1.9429068e-01	7.6530423e-01	3.3598120e-01	4.2932304e-01
556            	-4.7091707e-02	1.9425038e-01	7.6561802e-01	3.3571730e-01	4.2990072e-01
557            	-4.7802579e-02	1.9426989e-01	7.6667372e-01	3.3553428e-01	4.3113944e-01
558            	-4.8974651e-02	1.9444863e-01	7.6911702e-01	3.3558386e-01	4.3353316e-01
559            	-5.0624969e-02	1.9484464e-01	7.7305547e-01	3.3590277e-01	4.3715271e-01
560            	-5.2676790e-02	1.9546127e-01	7.7822042e-01	3.3643342e-01	4.4178700e-01
561            	-5.4869606e-02	1.9621701e-01	7.8383205e-01	3.3704642e-01	4.4678563e-01
562            	-5.7185222e-02	1.9710300e-01	7.8973960e-01	3.3768458e-01	4.5205502e-01
563            	-6.0042276e-02	1.9831709e-01	7.9685911e-01	3.3838728e-01	4.5847183e-01
564            	-6.3247761e-02	1.9985313e-01	8.0453927e-01	3.3902187e-01	4.6551739e-01
565            	-6.6333270e-02	2.0162095e-01	8.1150145e-01	3.3941745e-01	4.7208399e-01
566            	-6.8284858e-02	2.0322097e-01	8.1542316e-01	3.3942672e-01	4.7599644e-01
567            	-6.8339239e-02	2.0419409e-01	8.1483847e-01	3.3908000e-01	4.7575848e-01
568            	-6.6514126e-02	2.0434696e-01	8.1008922e-01	3.3853049e-01	4.7155874e-01
569            	-6.3393636e-02	2.0376726e-01	8.0267487e-01	3.3794380e-01	4.6473107e-01
570            	-5.9097026e-02	2.0249002e-01	7.9294212e-01	3.3737403e-01	4.5556808e-01
571            	-5.3406561e-02	2.0036375e-01	7.8053633e-01	3.3686160e-01	4.4367473e-01
572            	-4.6246156e-02	1.9717974e-01	7.6544199e-01	3.3647484e-01	4.2896715e-01
573            	-3.8645218e-02	1.9317971e-01	7.4981361e-01	3.3626159e-01	4.1355202e-01
574            	-3.2123041e-02	1.8900445e-01	7.3657418e-01	3.3616405e-01	4.0041013e-01
575            	-2.7696074e-02	1.8524956e-01	7.2751937e-01	3.3606361e-01	3.9145576e-01
576            	-2.5723044e-02	1.8225695e-01	7.2312967e-01	3.3584179e-01	3.8728788e-01
577            	-2.6345099e-02	1.8015429e-01	7.2343517e-01	3.3537249e-01	3.8806269e-01
578            	-2.9378717e-02	1.7929389e-01	7.2800346e-01	3.3462301e-01	3.9338044e-01
579            	-3.4289910e-02	1.7967676e-01	7.3580862e-01	3.3361440e-01	4.0219422e-01
580            	-4.1490842e-02	1.8152221e-01	7.4745491e-01	3.3223661e-01	4.1521830e-01
581            	-5.0270862e-02	1.8493259e-01	7.6186825e-01	3.3066327e-01	4.3120499e-01
582            	-5.8978712e-02	1.8944965e-01	7.7652210e-01	3.2928234e-01	4.4723976e-01
583            	-6.6268470e-02	1.9443537e-01	7.8937609e-01	3.2841957e-01	4.6095651e-01
584            	-7.1471983e-02	1.9940834e-01	7.9947941e-01	3.2826772e-01	4.7121169e-01
585            	-7.4313411e-02	2.0402689e-01	8.0650478e-01	3.2893898e-01	4.7756580e-01
586            	-7.4701080e-02	2.0781451e-01	8.1020693e-01	3.3040238e-01	4.7980454e-01
587            	-7.2991282e-02	2.1046974e-01	8.1091431e-01	3.3246587e-01	4.7844844e-01
588            	-6.9842188e-02	2.1189889e-01	8.0934306e-01	3.3482934e-01	4.7451372e-01
589            	-6.5936809e-02	2.1222788e-01	8.0632494e-01	3.3722566e-01	4.6909928e-01
590            	-6.1490678e-02	2.1160899e-01	8.0222332e-01	3.3962098e-01	4.6260234e-01
591            	-5.7118864e-02	2.1019185e-01	7.9767688e-01	3.4171957e-01	4.5595730e-01
592            	-5.2971502e-02	2.0803295e-01	7.9280210e-01	3.4342955e-01	4.4937255e-01
593            	-4.9319855e-02	2.0520213e-01	7.8778300e-01	3.4457164e-01	4.4321135e-01
594            	-4.6346648e-02	2.0170528e-01	7.8263592e-01	3.4497131e-01	4.3766461e-01
595            	-4.4265862e-02	1.9762039e-01	7.7744143e-01	3.4445485e-01	4.3298658e-01
596            	-4.3242887e-02	1.9318377e-01	7.7242165e-01	3.4296794e-01	4.2945371e-01
597            	-4.3382438e-02	1.8920414e-01	7.6845988e-01	3.4084750e-01	4.2761238e-01
598            	-4.4448225e-02	1.8625223e-01	7.6607372e-01	3.3858863e-01	4.2748509e-01
599            	-4.6000860e-02	1.8470360e-01	7.6548867e-01	3.3674347e-01	4.2874519e-01
600            	-4.7459349e-02	1.8443038e-01	7.6625304e-01	3.3566717e-01	4.3058587e-01
601            	-4.8638653e-02	1.8490323e-01	7.6772982e-01	3.3522626e-01	4.3250357e-01
602            	-4.9991652e-02	1.8614257e-01	7.7044743e-01	3.3523207e-01	4.3521537e-01
603            	-5.1659628e-02	1.8833981e-01	7.7492819e-01	3.3580447e-01	4.3912372e-01
604            	-5.3521612e-02	1.9130086e-01	7.8090777e-01	3.3693227e-01	4.4397549e-01
605            	-5.5419620e-02	1.9463796e-01	7.8773660e-01	3.3844868e-01	4.4928792e-01
606            	-5.7256011e-02	1.9802532e-01	7.9484286e-01	3.4016542e-01	4.5467744e-01
607            	-5.8977573e-02	2.0127323e-01	8.0185834e-01	3.4195160e-01	4.5990674e-01
608            	-6.0634646e-02	2.0449527e-01	8.0895814e-01	3.4384442e-01	4.6511371e-01
609            	-6.1930022e-02	2.0737022e-01	8.1529529e-01	3.4571762e-01	4.6957767e-01
610            	-6.2409815e-02	2.0943830e-01	8.1962148e-01	3.4740092e-01	4.7222055e-01
611            	-6.1521852e-02	2.1014466e-01	8.2039670e-01	3.4867650e-01	4.7172020e-01
612            	-5.9461179e-02	2.0905604e-01	8.1731904e-01	3.4919834e-01	4.6812070e-01
613            	-5.7086083e-02	2.0693331e-01	8.1249286e-01	3.4916035e-01	4.6333251e-01
614            	-5.5174760e-02	2.0486326e-01	8.0828980e-01	3.4897014e-01	4.5931966e-01
615            	-5.3902603e-02	2.0336893e-01	8.0560582e-01	3.4890031e-01	4.5670551e-01
616            	-5.2918452e-02	2.0213155e-01	8.0368108e-01	3.4892209e-01	4.5475899e-01
617            	-5.2056380e-02	2.0085353e-01	8.0209280e-01	3.4899002e-01	4.5310278e-01
618            	-5.1501851e-02	1.9967236e-01	8.0131280e-01	3.4915455e-01	4.5215825e-01
619            	-5.1419994e-02	1.9881330e-01	8.0179792e-01	3.4947896e-01	4.5231895e-01
620            	-5.1838933e-02	1.9839389e-01	8.0366623e-01	3.4999418e-01	4.5367205e-01
621            	-5.2683240e-02	1.9843493e-01	8.0677876e-01	3.5070614e-01	4.5607262e-01
622            	-5.3967855e-02	1.9893898e-01	8.1129914e-01	3.5168171e-01	4.5961742e-01
623            	-5.5817889e-02	2.0005767e-01	8.1786865e-01	3.5311644e-01	4.6475222e-01
624            	-5.7517702e-02	2.0153048e-01	8.2457183e-01	3.5476821e-01	4.6980362e-01
625            	-5.8491791e-02	2.0285754e-01	8.2953381e-01	3.5627511e-01	4.7325869e-01
626            	-5.8711183e-02	2.0370986e-01	8.3228670e-01	3.5743217e-01	4.7485453e-01
627            	-5.8558632e-02	2.0400469e-01	8.3336167e-01	3.5812220e-01	4.7523947e-01
628            	-5.8198472e-02	2.0427001e-01	8.3416569e-01	3.5888437e-01	4.7528132e-01
629            	-5.7510770e-02	2.0462449e-01	8.3481855e-01	3.5989850e-01	4.7492004e-01
630            	-5.6553086e-02	2.0504506e-01	8.3529747e-01	3.6109565e-01	4.7420182e-01
631            	-5.5583564e-02	2.0544295e-01	8.3572839e-01	3.6228063e-01	4.7344776e-01
632            	-5.4819384e-02	2.0577007e-01	8.3629014e-01	3.6332569e-01	4.7296445e-01
633            	-5.4368963e-02	2.0601030e-01	8.3709363e-01	3.6417785e-01	4.7291578e-01
634            	-5.4215485e-02	2.0619089e-01	8.3817388e-01	3.6487145e-01	4.7330242e-01
