# Force coefficients
# liftDir      : (-1.7364818e-01 0.0000000e+00 9.8480775e-01)
# dragDir      : (9.8480775e-01 0.0000000e+00 1.7364818e-01)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
400            	-2.6309108e-02	1.5486769e-01	6.4393449e-01	2.9565814e-01	3.4827635e-01
401            	-2.6607858e-02	1.5480279e-01	6.4315824e-01	2.9497126e-01	3.4818698e-01
402            	-2.6894583e-02	1.5474128e-01	6.4226608e-01	2.9423846e-01	3.4802762e-01
403            	-2.7130769e-02	1.5469748e-01	6.4151371e-01	2.9362609e-01	3.4788762e-01
404            	-2.7298702e-02	1.5467589e-01	6.4109466e-01	2.9324863e-01	3.4784603e-01
405            	-2.7457372e-02	1.5465857e-01	6.4063846e-01	2.9286186e-01	3.4777660e-01
406            	-2.7624734e-02	1.5464617e-01	6.4004372e-01	2.9239713e-01	3.4764659e-01
407            	-2.7833377e-02	1.5465800e-01	6.3951280e-01	2.9192302e-01	3.4758978e-01
408            	-2.8205855e-02	1.5473743e-01	6.3956797e-01	2.9157813e-01	3.4798984e-01
409            	-2.8875976e-02	1.5492227e-01	6.4069741e-01	2.9147273e-01	3.4922468e-01
410            	-2.9907036e-02	1.5522781e-01	6.4302983e-01	2.9160788e-01	3.5142195e-01
411            	-3.1299449e-02	1.5565406e-01	6.4645416e-01	2.9192763e-01	3.5452653e-01
412            	-3.2949559e-02	1.5617070e-01	6.5057949e-01	2.9234019e-01	3.5823930e-01
413            	-3.4972932e-02	1.5682757e-01	6.5560003e-01	2.9282708e-01	3.6277295e-01
414            	-3.7634507e-02	1.5774393e-01	6.6203902e-01	2.9338501e-01	3.6865402e-01
415            	-4.0921191e-02	1.5897423e-01	6.6964591e-01	2.9390176e-01	3.7574415e-01
416            	-4.4296655e-02	1.6040470e-01	6.7696117e-01	2.9418393e-01	3.8277724e-01
417            	-4.6793435e-02	1.6171392e-01	6.8178665e-01	2.9409989e-01	3.8768676e-01
418            	-4.7705712e-02	1.6258354e-01	6.8278344e-01	2.9368601e-01	3.8909743e-01
419            	-4.6962861e-02	1.6287616e-01	6.8010326e-01	2.9308877e-01	3.8701449e-01
420            	-4.4773240e-02	1.6260368e-01	6.7439177e-01	2.9242265e-01	3.8196913e-01
421            	-4.1250679e-02	1.6176323e-01	6.6602977e-01	2.9176421e-01	3.7426556e-01
422            	-3.6196889e-02	1.6023139e-01	6.5473217e-01	2.9116919e-01	3.6356297e-01
423            	-2.9943173e-02	1.5801036e-01	6.4136324e-01	2.9073845e-01	3.5062479e-01
424            	-2.2867897e-02	1.5511198e-01	6.2680060e-01	2.9053240e-01	3.3626820e-01
425            	-1.6176627e-02	1.5191947e-01	6.1341987e-01	2.9053331e-01	3.2288656e-01
426            	-1.0940460e-02	1.4889445e-01	6.0315064e-01	2.9063486e-01	3.1251578e-01
427            	-7.7651638e-03	1.4644564e-01	5.9694127e-01	2.9070547e-01	3.0623580e-01
428            	-6.4447564e-03	1.4448452e-01	5.9422178e-01	2.9066613e-01	3.0355564e-01
429            	-7.1989658e-03	1.4304170e-01	5.9518732e-01	2.9039470e-01	3.0479263e-01
430            	-1.0235203e-02	1.4241358e-01	6.0002485e-01	2.8977722e-01	3.1024763e-01
431            	-1.5278664e-02	1.4274192e-01	6.0814172e-01	2.8879219e-01	3.1934952e-01
432            	-2.1873707e-02	1.4403477e-01	6.1871614e-01	2.8748436e-01	3.3123178e-01
433            	-2.9623389e-02	1.4628196e-01	6.3111141e-01	2.8593232e-01	3.4517909e-01
434            	-3.7750059e-02	1.4934563e-01	6.4418043e-01	2.8434015e-01	3.5984027e-01
435            	-4.5381872e-02	1.5299115e-01	6.5671710e-01	2.8297668e-01	3.7374042e-01
436            	-5.1677167e-02	1.5691193e-01	6.6761464e-01	2.8213016e-01	3.8548449e-01
437            	-5.6045928e-02	1.6086393e-01	6.7621330e-01	2.8206072e-01	3.9415258e-01
438            	-5.7893228e-02	1.6438122e-01	6.8166592e-01	2.8293973e-01	3.9872619e-01
439            	-5.7155159e-02	1.6709310e-01	6.8376854e-01	2.8472911e-01	3.9903943e-01
440            	-5.4401087e-02	1.6870369e-01	6.8293824e-01	2.8706803e-01	3.9587021e-01
441            	-5.0295258e-02	1.6933140e-01	6.8003454e-01	2.8972201e-01	3.9031253e-01
442            	-4.5539673e-02	1.6911034e-01	6.7587055e-01	2.9239560e-01	3.8347495e-01
443            	-4.0592048e-02	1.6819403e-01	6.7099458e-01	2.9490524e-01	3.7608934e-01
444            	-3.5795408e-02	1.6669485e-01	6.6576232e-01	2.9708575e-01	3.6867657e-01
445            	-3.1573666e-02	1.6475670e-01	6.6059134e-01	2.9872201e-01	3.6186934e-01
446            	-2.8015569e-02	1.6238104e-01	6.5544386e-01	2.9970636e-01	3.5573750e-01
447            	-2.5367250e-02	1.5963557e-01	6.5046146e-01	2.9986348e-01	3.5059798e-01
448            	-2.3868780e-02	1.5670617e-01	6.4593748e-01	2.9909996e-01	3.4683752e-01
449            	-2.3589958e-02	1.5388238e-01	6.4223269e-01	2.9752639e-01	3.4470630e-01
450            	-2.4351569e-02	1.5154872e-01	6.3974502e-01	2.9552094e-01	3.4422408e-01
451            	-2.5747960e-02	1.4988963e-01	6.3851207e-01	2.9350808e-01	3.4500400e-01
452            	-2.7364071e-02	1.4890785e-01	6.3834354e-01	2.9180770e-01	3.4653584e-01
453            	-2.8915961e-02	1.4849005e-01	6.3897141e-01	2.9056975e-01	3.4840167e-01
454            	-3.0419378e-02	1.4849370e-01	6.4030800e-01	2.8973462e-01	3.5057338e-01
455            	-3.1979693e-02	1.4891672e-01	6.4257616e-01	2.8930839e-01	3.5326778e-01
456            	-3.3728759e-02	1.4987826e-01	6.4627083e-01	2.8940666e-01	3.5686418e-01
457            	-3.5692751e-02	1.5147661e-01	6.5173854e-01	2.9017652e-01	3.6156202e-01
458            	-3.7621588e-02	1.5350684e-01	6.5835220e-01	2.9155451e-01	3.6679769e-01
459            	-3.9345670e-02	1.5568542e-01	6.6532212e-01	2.9331539e-01	3.7200673e-01
460            	-4.0772368e-02	1.5775324e-01	6.7193838e-01	2.9519682e-01	3.7674156e-01
461            	-4.1912124e-02	1.5959437e-01	6.7789808e-01	2.9703692e-01	3.8086117e-01
462            	-4.2795781e-02	1.6118804e-01	6.8314559e-01	2.9877701e-01	3.8436857e-01
463            	-4.3480613e-02	1.6266482e-01	6.8803277e-01	3.0053577e-01	3.8749700e-01
464            	-4.3872811e-02	1.6402212e-01	6.9244420e-01	3.0234929e-01	3.9009491e-01
465            	-4.3769301e-02	1.6513075e-01	6.9583081e-01	3.0414611e-01	3.9168471e-01
466            	-4.2964430e-02	1.6579752e-01	6.9746583e-01	3.0576849e-01	3.9169735e-01
467            	-4.1276867e-02	1.6586401e-01	6.9671082e-01	3.0707854e-01	3.8963228e-01
468            	-3.8674381e-02	1.6516195e-01	6.9305003e-01	3.0785063e-01	3.8519940e-01
469            	-3.6003596e-02	1.6388255e-01	6.8793045e-01	3.0796163e-01	3.7996882e-01
470            	-3.4031390e-02	1.6254970e-01	6.8350791e-01	3.0772256e-01	3.7578534e-01
471            	-3.2981830e-02	1.6160970e-01	6.8105420e-01	3.0754527e-01	3.7350893e-01
472            	-3.2526545e-02	1.6105030e-01	6.8012393e-01	3.0753542e-01	3.7258851e-01
473            	-3.2376429e-02	1.6057550e-01	6.7985844e-01	3.0755279e-01	3.7230565e-01
474            	-3.2617301e-02	1.6018097e-01	6.8047075e-01	3.0761807e-01	3.7285267e-01
475            	-3.3342505e-02	1.5994019e-01	6.8230606e-01	3.0781053e-01	3.7449554e-01
476            	-3.4446962e-02	1.5991645e-01	6.8531109e-01	3.0820858e-01	3.7710251e-01
477            	-3.5802986e-02	1.6010380e-01	6.8927578e-01	3.0883490e-01	3.8044088e-01
478            	-3.7245618e-02	1.6046431e-01	6.9384783e-01	3.0967830e-01	3.8416953e-01
479            	-3.8561288e-02	1.6092177e-01	6.9846724e-01	3.1067233e-01	3.8779491e-01
480            	-3.9749457e-02	1.6145545e-01	7.0314303e-01	3.1182206e-01	3.9132097e-01
481            	-4.0863463e-02	1.6209568e-01	7.0813933e-01	3.1320620e-01	3.9493313e-01
482            	-4.2032906e-02	1.6296838e-01	7.1420169e-01	3.1506794e-01	3.9913375e-01
483            	-4.3299143e-02	1.6426180e-01	7.2214175e-01	3.1777173e-01	4.0437002e-01
484            	-4.3916605e-02	1.6544027e-01	7.2876845e-01	3.2046762e-01	4.0830083e-01
485            	-4.3739268e-02	1.6617011e-01	7.3260330e-01	3.2256238e-01	4.1004092e-01
486            	-4.3160084e-02	1.6641732e-01	7.3403369e-01	3.2385676e-01	4.1017693e-01
487            	-4.2662748e-02	1.6641821e-01	7.3452496e-01	3.2459973e-01	4.0992523e-01
488            	-4.2089780e-02	1.6634976e-01	7.3468810e-01	3.2525427e-01	4.0943383e-01
489            	-4.1081785e-02	1.6620535e-01	7.3421509e-01	3.2602576e-01	4.0818933e-01
490            	-3.9727023e-02	1.6596843e-01	7.3307094e-01	3.2680845e-01	4.0626250e-01
491            	-3.8314685e-02	1.6567049e-01	7.3163245e-01	3.2750154e-01	4.0413091e-01
492            	-3.7140241e-02	1.6537058e-01	7.3041349e-01	3.2806650e-01	4.0234699e-01
493            	-3.6364925e-02	1.6511929e-01	7.2976715e-01	3.2851865e-01	4.0124850e-01
494            	-3.6010229e-02	1.6494342e-01	7.2981674e-01	3.2889814e-01	4.0091860e-01
495            	-3.5995464e-02	1.6484323e-01	7.3048713e-01	3.2924810e-01	4.0123903e-01
496            	-3.6227266e-02	1.6481026e-01	7.3166577e-01	3.2960562e-01	4.0206015e-01
497            	-3.6699703e-02	1.6484886e-01	7.3340983e-01	3.3000521e-01	4.0340462e-01
498            	-3.7559769e-02	1.6500703e-01	7.3612757e-01	3.3050402e-01	4.0562356e-01
499            	-3.8874645e-02	1.6534585e-01	7.4011570e-01	3.3118321e-01	4.0893250e-01
500            	-4.0436377e-02	1.6586992e-01	7.4506828e-01	3.3209776e-01	4.1297052e-01
501            	-4.1744309e-02	1.6644429e-01	7.4981060e-01	3.3316099e-01	4.1664961e-01
502            	-4.2522099e-02	1.6692805e-01	7.5348640e-01	3.3422110e-01	4.1926530e-01
503            	-4.2884410e-02	1.6732260e-01	7.5625066e-01	3.3524092e-01	4.2100974e-01
504            	-4.2973725e-02	1.6767074e-01	7.5843757e-01	3.3624506e-01	4.2219251e-01
505            	-4.2870449e-02	1.6798854e-01	7.6020849e-01	3.3723380e-01	4.2297470e-01
506            	-4.2646250e-02	1.6826301e-01	7.6162274e-01	3.3816512e-01	4.2345762e-01
507            	-4.2383603e-02	1.6847650e-01	7.6274805e-01	3.3899042e-01	4.2375763e-01
508            	-4.2155925e-02	1.6861800e-01	7.6366469e-01	3.3967642e-01	4.2398827e-01
509            	-4.1981684e-02	1.6871265e-01	7.6448084e-01	3.4025873e-01	4.2422210e-01
510            	-4.1865923e-02	1.6877515e-01	7.6525280e-01	3.4076048e-01	4.2449232e-01
511            	-4.1800316e-02	1.6883338e-01	7.6606121e-01	3.4123029e-01	4.2483092e-01
512            	-4.1796710e-02	1.6889516e-01	7.6694317e-01	3.4167488e-01	4.2526830e-01
513            	-4.1872597e-02	1.6896399e-01	7.6792186e-01	3.4208833e-01	4.2583353e-01
514            	-4.2038322e-02	1.6903134e-01	7.6897275e-01	3.4244805e-01	4.2652470e-01
515            	-4.2289913e-02	1.6908590e-01	7.7005144e-01	3.4273581e-01	4.2731563e-01
516            	-4.2608514e-02	1.6911324e-01	7.7109583e-01	3.4293940e-01	4.2815643e-01
517            	-4.2940357e-02	1.6910104e-01	7.7202028e-01	3.4306978e-01	4.2895050e-01
518            	-4.3262349e-02	1.6904667e-01	7.7280685e-01	3.4314108e-01	4.2966577e-01
519            	-4.3534014e-02	1.6895141e-01	7.7343133e-01	3.4318165e-01	4.3024968e-01
520            	-4.3735571e-02	1.6882053e-01	7.7390190e-01	3.4321538e-01	4.3068652e-01
521            	-4.3857328e-02	1.6866416e-01	7.7424319e-01	3.4326427e-01	4.3097892e-01
522            	-4.3900371e-02	1.6848143e-01	7.7447396e-01	3.4333661e-01	4.3113735e-01
523            	-4.3869125e-02	1.6828807e-01	7.7462940e-01	3.4344558e-01	4.3118383e-01
524            	-4.3785503e-02	1.6810132e-01	7.7475303e-01	3.4359101e-01	4.3116202e-01
525            	-4.3685973e-02	1.6794138e-01	7.7489258e-01	3.4376032e-01	4.3113227e-01
526            	-4.3602729e-02	1.6781733e-01	7.7507355e-01	3.4393405e-01	4.3113951e-01
527            	-4.3554753e-02	1.6772785e-01	7.7529852e-01	3.4409451e-01	4.3120402e-01
528            	-4.3550355e-02	1.6766865e-01	7.7556019e-01	3.4422974e-01	4.3133045e-01
529            	-4.3589184e-02	1.6763192e-01	7.7585393e-01	3.4433778e-01	4.3151615e-01
530            	-4.3672889e-02	1.6761509e-01	7.7617341e-01	3.4441381e-01	4.3175959e-01
531            	-4.3798807e-02	1.6761482e-01	7.7650874e-01	3.4445556e-01	4.3205318e-01
532            	-4.3970439e-02	1.6763015e-01	7.7686041e-01	3.4445976e-01	4.3240064e-01
533            	-4.4195957e-02	1.6766255e-01	7.7722899e-01	3.4441854e-01	4.3281045e-01
534            	-4.4471199e-02	1.6771000e-01	7.7759632e-01	3.4432696e-01	4.3326936e-01
535            	-4.4786440e-02	1.6776925e-01	7.7793932e-01	3.4418322e-01	4.3375610e-01
536            	-4.5112638e-02	1.6783140e-01	7.7822584e-01	3.4400028e-01	4.3422556e-01
537            	-4.5462304e-02	1.6790166e-01	7.7844551e-01	3.4376045e-01	4.3468506e-01
538            	-4.5799037e-02	1.6797023e-01	7.7856769e-01	3.4348481e-01	4.3508288e-01
539            	-4.6110851e-02	1.6803618e-01	7.7856747e-01	3.4317288e-01	4.3539458e-01
540            	-4.6376423e-02	1.6809699e-01	7.7841216e-01	3.4282966e-01	4.3558251e-01
541            	-4.6561132e-02	1.6814373e-01	7.7809600e-01	3.4248687e-01	4.3560913e-01
542            	-4.6647802e-02	1.6817407e-01	7.7760143e-01	3.4215291e-01	4.3544852e-01
543            	-4.6629044e-02	1.6818306e-01	7.7695917e-01	3.4185054e-01	4.3510863e-01
544            	-4.6514427e-02	1.6816973e-01	7.7619829e-01	3.4158472e-01	4.3461357e-01
545            	-4.6313766e-02	1.6813398e-01	7.7531724e-01	3.4134485e-01	4.3397239e-01
546            	-4.6055318e-02	1.6807539e-01	7.7435787e-01	3.4112362e-01	4.3323425e-01
