# Force coefficients
# liftDir      : (0.0000000e+00 0.0000000e+00 1.0000000e+00)
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 2.5000000e+01
# lRef         : 6.4150000e-01
# Aref         : 2.6040000e+00
# CofR         : (1.0700000e+00 0.0000000e+00 0.0000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0              	3.4754515e-04	3.2892015e-03	-1.0263923e-05	3.4241318e-04	-3.5267711e-04
1              	7.2407659e-03	4.1636924e-02	-6.3973776e-03	4.0420771e-03	-1.0439455e-02
2              	1.2142759e-02	8.2635599e-02	-1.0902629e-02	6.6914441e-03	-1.7594073e-02
3              	1.3079800e-02	1.0487503e-01	-1.1889593e-02	7.1350033e-03	-1.9024596e-02
4              	1.0748111e-02	1.0152393e-01	-9.8950958e-03	5.8005630e-03	-1.5695659e-02
5              	7.8464588e-03	8.1106820e-02	-7.7302144e-03	3.9813516e-03	-1.1711566e-02
6              	6.5933665e-03	5.9539256e-02	-6.8156841e-03	3.1855245e-03	-1.0001209e-02
7              	7.6023531e-03	4.8676999e-02	-7.4520525e-03	3.8763269e-03	-1.1328379e-02
8              	1.0002089e-02	5.1082499e-02	-8.9172671e-03	5.5434554e-03	-1.4460723e-02
9              	1.2349013e-02	6.1803590e-02	-1.0308484e-02	7.1947707e-03	-1.7503255e-02
10             	1.3608741e-02	7.2641663e-02	-1.1093412e-02	8.0620346e-03	-1.9155447e-02
11             	1.3674344e-02	7.7855945e-02	-1.1299676e-02	8.0245057e-03	-1.9324182e-02
12             	1.2921899e-02	7.6566787e-02	-1.0976950e-02	7.4334235e-03	-1.8410374e-02
13             	1.2175483e-02	7.1121284e-02	-1.0578373e-02	6.8862967e-03	-1.7464669e-02
14             	1.1916747e-02	6.5454341e-02	-1.0339850e-02	6.7468219e-03	-1.7086672e-02
15             	1.2173384e-02	6.2335858e-02	-1.0317732e-02	7.0145186e-03	-1.7332250e-02
16             	1.2793566e-02	6.2282179e-02	-1.0600456e-02	7.4933378e-03	-1.8093794e-02
17             	1.3396351e-02	6.4356998e-02	-1.1024861e-02	7.8839206e-03	-1.8908781e-02
18             	1.3723716e-02	6.6773612e-02	-1.1440741e-02	8.0033455e-03	-1.9444087e-02
19             	1.3755686e-02	6.8196400e-02	-1.1779525e-02	7.8659237e-03	-1.9645448e-02
20             	1.3567502e-02	6.8287550e-02	-1.1931259e-02	7.6018727e-03	-1.9533132e-02
21             	1.3338565e-02	6.7384926e-02	-1.1932138e-02	7.3724962e-03	-1.9304635e-02
22             	1.3208797e-02	6.6200071e-02	-1.1876908e-02	7.2703433e-03	-1.9147251e-02
23             	1.3217464e-02	6.5350068e-02	-1.1849551e-02	7.2926884e-03	-1.9142240e-02
24             	1.3325016e-02	6.5097286e-02	-1.1900530e-02	7.3747517e-03	-1.9275281e-02
25             	1.3450202e-02	6.5366706e-02	-1.2024278e-02	7.4380636e-03	-1.9462341e-02
26             	1.3522754e-02	6.5859727e-02	-1.2169783e-02	7.4378632e-03	-1.9607646e-02
27             	1.3522222e-02	6.6273474e-02	-1.2289415e-02	7.3775149e-03	-1.9666930e-02
28             	1.3470220e-02	6.6445822e-02	-1.2359590e-02	7.2904252e-03	-1.9650015e-02
29             	1.3405068e-02	6.6372773e-02	-1.2380359e-02	7.2148887e-03	-1.9595248e-02
30             	1.3359933e-02	6.6161650e-02	-1.2374016e-02	7.1729252e-03	-1.9546941e-02
31             	1.3345606e-02	6.5954108e-02	-1.2367897e-02	7.1616574e-03	-1.9529555e-02
32             	1.3353331e-02	6.5839189e-02	-1.2377700e-02	7.1644806e-03	-1.9542180e-02
33             	1.3365853e-02	6.5843020e-02	-1.2407007e-02	7.1623493e-03	-1.9569356e-02
34             	1.3367514e-02	6.5928210e-02	-1.2446290e-02	7.1443685e-03	-1.9590658e-02
35             	1.3354471e-02	6.6041423e-02	-1.2484546e-02	7.1121974e-03	-1.9596744e-02
36             	1.3334148e-02	6.6120989e-02	-1.2509650e-02	7.0793231e-03	-1.9588973e-02
37             	1.3316378e-02	6.6147873e-02	-1.2526830e-02	7.0529637e-03	-1.9579793e-02
38             	1.3309415e-02	6.6125193e-02	-1.2535669e-02	7.0415801e-03	-1.9577250e-02
39             	1.3313982e-02	6.6074826e-02	-1.2547234e-02	7.0403652e-03	-1.9587599e-02
40             	1.3325783e-02	6.6022570e-02	-1.2563915e-02	7.0438258e-03	-1.9607741e-02
41             	1.3338896e-02	6.5987579e-02	-1.2589890e-02	7.0439510e-03	-1.9633841e-02
42             	1.3348346e-02	6.5975574e-02	-1.2622037e-02	7.0373272e-03	-1.9659364e-02
43             	1.3351615e-02	6.5979120e-02	-1.2658806e-02	7.0222123e-03	-1.9681018e-02
44             	1.3349721e-02	6.5984160e-02	-1.2695189e-02	7.0021269e-03	-1.9697316e-02
45             	1.3345209e-02	6.5979389e-02	-1.2729909e-02	6.9802541e-03	-1.9710163e-02
46             	1.3340655e-02	6.5959922e-02	-1.2761393e-02	6.9599589e-03	-1.9721352e-02
47             	1.3336871e-02	6.5927341e-02	-1.2790914e-02	6.9414136e-03	-1.9732328e-02
48             	1.3332596e-02	6.5886525e-02	-1.2818906e-02	6.9231431e-03	-1.9742049e-02
49             	1.3325551e-02	6.5844328e-02	-1.2846878e-02	6.9021118e-03	-1.9748989e-02
50             	1.3313915e-02	6.5806457e-02	-1.2875248e-02	6.8762913e-03	-1.9751539e-02
51             	1.3296171e-02	6.5775870e-02	-1.2903914e-02	6.8442134e-03	-1.9748128e-02
52             	1.3271857e-02	6.5751688e-02	-1.2931166e-02	6.8062738e-03	-1.9737440e-02
53             	1.3241603e-02	6.5731096e-02	-1.2955559e-02	6.7638240e-03	-1.9719383e-02
54             	1.3206754e-02	6.5710919e-02	-1.2975950e-02	6.7187785e-03	-1.9694729e-02
55             	1.3168688e-02	6.5689174e-02	-1.2992487e-02	6.6724451e-03	-1.9664932e-02
56             	1.3128471e-02	6.5665364e-02	-1.3005955e-02	6.6254936e-03	-1.9631448e-02
57             	1.3086598e-02	6.5640202e-02	-1.3017595e-02	6.5778000e-03	-1.9595395e-02
58             	1.3043172e-02	6.5614910e-02	-1.3028279e-02	6.5290324e-03	-1.9557312e-02
59             	1.2998197e-02	6.5590849e-02	-1.3038566e-02	6.4789137e-03	-1.9517480e-02
60             	1.2951780e-02	6.5568908e-02	-1.3048440e-02	6.4275599e-03	-1.9476000e-02
61             	1.2904080e-02	6.5549020e-02	-1.3057513e-02	6.3753234e-03	-1.9432836e-02
62             	1.2855350e-02	6.5530681e-02	-1.3065129e-02	6.3227849e-03	-1.9387914e-02
63             	1.2805936e-02	6.5513291e-02	-1.3070816e-02	6.2705279e-03	-1.9341344e-02
64             	1.2756250e-02	6.5496501e-02	-1.3074463e-02	6.2190182e-03	-1.9293481e-02
65             	1.2706739e-02	6.5480408e-02	-1.3076465e-02	6.1685063e-03	-1.9244971e-02
66             	1.2657845e-02	6.5465396e-02	-1.3077460e-02	6.1191152e-03	-1.9196575e-02
67             	1.2609940e-02	6.5451874e-02	-1.3078050e-02	6.0709149e-03	-1.9148965e-02
68             	1.2564953e-02	6.5438363e-02	-1.3076447e-02	6.0267295e-03	-1.9103177e-02
69             	1.2518369e-02	6.5429386e-02	-1.3078489e-02	5.9791243e-03	-1.9057613e-02
70             	1.2473617e-02	6.5421760e-02	-1.3080179e-02	5.9335278e-03	-1.9013707e-02
71             	1.2432563e-02	6.5413161e-02	-1.3078711e-02	5.8932077e-03	-1.8971918e-02
72             	1.2392432e-02	6.5406250e-02	-1.3077476e-02	5.8536941e-03	-1.8931170e-02
73             	1.2353165e-02	6.5400934e-02	-1.3076626e-02	5.8148518e-03	-1.8891477e-02
74             	1.2315122e-02	6.5396880e-02	-1.3075966e-02	5.7771387e-03	-1.8853104e-02
75             	1.2278686e-02	6.5393735e-02	-1.3075156e-02	5.7411079e-03	-1.8816264e-02
76             	1.2244001e-02	6.5391284e-02	-1.3073922e-02	5.7070402e-03	-1.8780962e-02
77             	1.2210938e-02	6.5389468e-02	-1.3072164e-02	5.6748564e-03	-1.8747020e-02
78             	1.2179214e-02	6.5388307e-02	-1.3069935e-02	5.6442463e-03	-1.8714181e-02
79             	1.2148537e-02	6.5387837e-02	-1.3067346e-02	5.6148642e-03	-1.8682210e-02
80             	1.2118711e-02	6.5388051e-02	-1.3064482e-02	5.5864699e-03	-1.8650952e-02
81             	1.2089640e-02	6.5388892e-02	-1.3061361e-02	5.5589596e-03	-1.8620321e-02
82             	1.2061282e-02	6.5390272e-02	-1.3057932e-02	5.5323160e-03	-1.8590248e-02
83             	1.2033586e-02	6.5392080e-02	-1.3054116e-02	5.5065285e-03	-1.8560644e-02
84             	1.2006467e-02	6.5394234e-02	-1.3049834e-02	5.4815499e-03	-1.8531383e-02
85             	1.1979800e-02	6.5396679e-02	-1.3045028e-02	5.4572864e-03	-1.8502314e-02
86             	1.1953456e-02	6.5399392e-02	-1.3039672e-02	5.4336199e-03	-1.8473292e-02
87             	1.1927328e-02	6.5402345e-02	-1.3033765e-02	5.4104452e-03	-1.8444210e-02
88             	1.1901351e-02	6.5405507e-02	-1.3027326e-02	5.3876878e-03	-1.8415014e-02
89             	1.1875498e-02	6.5408840e-02	-1.3020382e-02	5.3653075e-03	-1.8385689e-02
90             	1.1849763e-02	6.5412303e-02	-1.3012957e-02	5.3432844e-03	-1.8356242e-02
91             	1.1824132e-02	6.5415848e-02	-1.3005068e-02	5.3215978e-03	-1.8326666e-02
92             	1.1798584e-02	6.5419440e-02	-1.2996720e-02	5.3002240e-03	-1.8296944e-02
93             	1.1773098e-02	6.5423051e-02	-1.2987917e-02	5.2791395e-03	-1.8267057e-02
94             	1.1747660e-02	6.5426662e-02	-1.2978666e-02	5.2583265e-03	-1.8236993e-02
95             	1.1722275e-02	6.5430254e-02	-1.2968990e-02	5.2377799e-03	-1.8206770e-02
96             	1.1696970e-02	6.5433810e-02	-1.2958925e-02	5.2175072e-03	-1.8176432e-02
97             	1.1671777e-02	6.5437314e-02	-1.2948516e-02	5.1975186e-03	-1.8146035e-02
98             	1.1645592e-02	6.5441222e-02	-1.2937287e-02	5.1769487e-03	-1.8114235e-02
99             	1.1621676e-02	6.5444269e-02	-1.2926803e-02	5.1582743e-03	-1.8085078e-02
100            	1.1597706e-02	6.5447272e-02	-1.2915906e-02	5.1397528e-03	-1.8055659e-02
101            	1.1573383e-02	6.5450301e-02	-1.2904470e-02	5.1211473e-03	-1.8025618e-02
102            	1.1547736e-02	6.5453745e-02	-1.2892014e-02	5.1017288e-03	-1.7993743e-02
103            	1.1524312e-02	6.5456471e-02	-1.2880597e-02	5.0840137e-03	-1.7964610e-02
104            	1.1500009e-02	6.5459484e-02	-1.2868340e-02	5.0658390e-03	-1.7934179e-02
105            	1.1477836e-02	6.5461858e-02	-1.2857111e-02	5.0492799e-03	-1.7906391e-02
106            	1.1455524e-02	6.5464195e-02	-1.2845446e-02	5.0328004e-03	-1.7878247e-02
107            	1.1431876e-02	6.5466848e-02	-1.2832570e-02	5.0155910e-03	-1.7848161e-02
108            	1.1409222e-02	6.5469210e-02	-1.2820106e-02	4.9991692e-03	-1.7819275e-02
109            	1.1388811e-02	6.5470996e-02	-1.2808955e-02	4.9843337e-03	-1.7793289e-02
110            	1.1368363e-02	6.5472738e-02	-1.2797468e-02	4.9696284e-03	-1.7767097e-02
111            	1.1346708e-02	6.5474750e-02	-1.2784806e-02	4.9543044e-03	-1.7739111e-02
112            	1.1326005e-02	6.5476512e-02	-1.2772592e-02	4.9397093e-03	-1.7712302e-02
113            	1.1307432e-02	6.5477763e-02	-1.2761729e-02	4.9265675e-03	-1.7688296e-02
114            	1.1288899e-02	6.5478950e-02	-1.2750584e-02	4.9136070e-03	-1.7664191e-02
115            	1.1269346e-02	6.5480340e-02	-1.2738327e-02	4.9001825e-03	-1.7638509e-02
116            	1.1250750e-02	6.5481484e-02	-1.2726577e-02	4.8874614e-03	-1.7614038e-02
117            	1.1234160e-02	6.5482162e-02	-1.2716220e-02	4.8760499e-03	-1.7592269e-02
118            	1.1217660e-02	6.5482764e-02	-1.2705637e-02	4.8648417e-03	-1.7570479e-02
119            	1.1200300e-02	6.5483523e-02	-1.2694024e-02	4.8532877e-03	-1.7547312e-02
120            	1.1183846e-02	6.5484063e-02	-1.2682940e-02	4.8423761e-03	-1.7525316e-02
121            	1.1169228e-02	6.5484196e-02	-1.2673229e-02	4.8326138e-03	-1.7505843e-02
122            	1.1153961e-02	6.5484439e-02	-1.2662618e-02	4.8226520e-03	-1.7485270e-02
